year,sp500,bonds,birkin,balenciaga,paddington
2005,1248.2900390625,53.05244064331055,6200.0,1100.0,1500.0
2006,1373.978172302246,53.3954701423645,6296.875,1210.9375,1307.8125
2007,1383.36085450632,55.326698722784144,6783.212735166425,1224.7467438494934,1036.3241678726483
2008,819.3438225731538,57.49900805114094,7075.429633070135,1043.1723176962378,725.6850905712959
2009,1015.2868309181054,59.51423521241942,6373.426573426574,819.4405594405595,546.2937062937064
2010,1126.1673308612558,62.12165005564526,6805.502063273729,850.6877579092161,447.7303988995874
2011,1092.0821486524392,65.06680126877136,7381.280569141841,911.805246776345,364.722098710538
2012,1213.1310782083651,65.96497738070605,8335.975609756098,1020.7317073170732,323.2317073170732
2013,1549.2905799963955,63.982501489205426,9387.811158798284,963.9270386266095,293.3690987124464
2014,1698.7881323520676,66.62350498678113,9901.140684410646,825.0950570342205,247.52851711026616
2015,1684.3100023486945,66.88938918294785,10053.417721518987,659.2405063291139,206.0126582278481
2016,1821.8479760742189,67.73285425186158,10578.750000000002,610.3125000000001,195.3
2017,2130.3796571990706,68.80016105586488,11553.855569155447,557.7723378212975,199.2044063647491
2018,1949.7722981770835,67.25486670600044,12288.88888888889,505.5555555555556,217.7777777777778
2019,2467.6235421262404,71.66540049052024,13671.763785686351,473.54712553773953,229.13570590535784
2020,2834.4686412310125,76.18298200403889,15771.90880989181,452.7820710973725,264.1228748068006
2021,3434.815455092539,71.49452210880295,16719.40959409594,490.0516605166052,302.6789667896679
2022,2561.852921079604,57.451774216610545,15880.218653911857,500.42705842159216,333.6180389477281
2023,3057.2622719324336,58.24330723320887,13780.603872661635,384.5749917952084,416.62290777814246
2024,3661.7223975558854,57.27521974796469,11579.789607905643,435.79853363085755,498.0554670066943
2025,4153.234389561976,59.81876933585787,11466.821994408203,485.3681267474372,667.3811742777261
